P1 Turnaround Time, Total Turnaround Time, P1 Execution Time, P1 Waiting Time, Context Switch Overhead, Workload
2853200, 5104100 ,1576200 ,1277000, 159700,  33 31 40
2664100, 5530000 ,1549400 ,1114700, 157800,  70 66 70
5264400, 9717300 ,2880500 ,2383900, 361300,  103 101 100
4777600, 14661000 ,2444400 ,2333200, 802300,  129 133 130
5855700, 21913400 ,3340100 ,2515600, 1540400,  158 154 160
9963200, 35302800 ,5305600 ,4657600, 2523400,  180 181 190
12433000, 52060100 ,6201300 ,6231700, 4451800,  210 220 220
19714700, 65306900 ,9653500 ,10061200, 5469300,  233 246 250
23827800, 86546900 ,11443600 ,12384200, 5038000,  253 272 280
31131300, 118115600 ,15189300 ,15942000, 9791300,  285 308 310
39118600, 152805000 ,18874500 ,20244100, 14444100,  316 336 340
47924300, 181116600 ,22884400 ,25039900, 12173000,  343 365 370
58834300, 226110100 ,27827500 ,31006800, 17558700,  365 395 400
74981400, 270047600 ,35273800 ,39707600, 18400300,  387 418 430
91662600, 344976200 ,42543600 ,49119000, 19321400,  414 453 460
107285400, 420170600 ,48632400 ,58653000, 29487300,  443 475 490
129889800, 469706100 ,60585400 ,69304400, 24675500,  465 513 520
152898200, 553300600 ,70077900 ,82820300, 39893100,  494 540 550
175672300, 711320800 ,81285400 ,94386900, 42645200,  527 576 580
205737900, 840189500 ,93710400 ,112027500, 53904700,  558 598 610
236305900, 898976500 ,109173100 ,127132800, 42226500,  587 631 640
273002600, 1122901100 ,122918900 ,150083700, 50720900,  608 670 670
302320500, 1208306000 ,138561900 ,163758600, 64161500,  632 707 700
332916000, 1322495300 ,152887400 ,180028600, 60289300,  670 731 730
390647700, 1837576500 ,175228000 ,215419700, 234133200,  705 761 760
452268100, 2122008700 ,204514000 ,247754100, 104608900,  738 787 790
467866800, 2082610800 ,212826800 ,255040000, 93743000,  769 807 820
520548100, 2401923900 ,234657700 ,285890400, 99092900,  805 840 850
639969400, 2594230900 ,261208400 ,378761000, 111398300,  827 870 880
751179600, 2991814400 ,282491500 ,468688100, 117717000,  863 891 910
759887400, 3365797800 ,308310900 ,451576500, 123040800,  888 916 940
756592700, 3797090800 ,336449900 ,420142800, 153052700,  912 943 970
865513200, 4938278700 ,370433500 ,495079700, 230399400,  948 968 1000
926498200, 4652995500 ,394931000 ,531567200, 150678100,  974 997 1030
1020122300, 5417227900 ,433526100 ,586596200, 236147500,  1007 1034 1060
1258866200, 5386892200 ,464706600 ,794159600, 182306200,  1031 1069 1090
1287239200, 5837738300 ,481841700 ,805397500, 175985800,  1053 1094 1120
1408970600, 7046961100 ,519202900 ,889767700, 191790000,  1087 1121 1150
1243966600, 7286406000 ,532089500 ,711877100, 227098900,  1121 1145 1180
1504660900, 8275363000 ,563627500 ,941033400, 294833100,  1144 1175 1210
1596632600, 9070003900 ,602527000 ,994105600, 254738700,  1171 1203 1240
1689304400, 9874233900 ,626230200 ,1063074200, 347757600,  1207 1241 1270
1572013900, 9700716900 ,642903200 ,929110700, 313936300,  1235 1265 1300
1933986300, 10391784500 ,693527800 ,1240458500, 300047700,  1258 1296 1330
2207281200, 11709050100 ,720026800 ,1487254400, 290250000,  1292 1335 1360
1779962500, 12794711200 ,745629700 ,1034332800, 301800100,  1324 1355 1390
1997351800, 13431636600 ,788781100 ,1208570700, 329727500,  1360 1383 1420
1965258400, 14057151700 ,806072400 ,1159186000, 375006900,  1399 1415 1450
2333172500, 14992415200 ,830355900 ,1502816600, 327033800,  1425 1441 1480
2454581100, 17266098700 ,879314500 ,1575266600, 379917800,  1459 1480 1510
